,docid,string,start,end,tokenloc,tokentext,entlabel,edit_short
481,6345,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
482,6348,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
483,6352,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
484,6353,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
485,6356,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
486,6360,JUAN LÓPEZ CARRASCO,15,18,13,cobrar,PER,0
487,6399,CARLOS DE ZARATE,14,17,13,cuanto,PER,0
488,6411,Antonio de Sameta,36,39,39,ambos,PER,0
489,6412,Martín de Sumeta,42,45,45,ambos,PER,0
490,6444,Miguel de Ulanos,136,139,135,suegro,PER,0
491,6444,Alonso de Castillo Rueda,505,509,510,consejo,PER,0
492,6459,Miguel de Serrera,0,3,3,sacristán,PER,0
493,6469,Andrés Martín,62,64,60,cobrar,PER,0
494,6508,JUAN MARTÍNEZ DE GRADILLA,0,4,5,cónsul,PER,0
495,6510,JUAN MARTÍNEZ DE GRADILLA,0,4,5,cónsul,PER,0
496,6528,Andrea Sarebes de Uriano,26,30,24,padres,PER,0
497,6529,Juan Jiménez de Montalbo y Sarabia,24,30,31,consejo,PER,0
498,6530,Juan Jiménez de Montalbo y Sarabia,24,30,31,consejo,PER,0
499,6629,Pedro de Medina Valbuena,19,23,18,padrino,PER,0
500,6723,Niseforio de Meneses Ponce,35,39,34,cuanto,PER,0
501,6725,Jerónimo de Chaves,16,19,19,padrino,PER,0
502,6791,Isabel María,17,19,16,cuanto,PER,0
503,6823,Luis de Granja,42,45,40,cobrar,PER,0
504,6840,LUIS MUÑOZ,0,2,8,beleta,PER,0
505,6854,José de Barrutia,58,61,61,Maestre,PER,0
506,6854,José de Gurrumendi,80,83,83,Maestre,PER,0
507,6855,José de Gurrumendi,24,27,27,Maestre,PER,0
508,6867,José de Morales,24,27,27,Maestre,PER,0
509,6867,Pedro de Chaves,44,47,47,Maestre,PER,0
510,6892,Francisco Campos,136,138,134,cobrar,PER,0
511,6923,Domingo de Leaegui,10,13,8,cobrar,PER,0
512,6926,Miguel de Usarte,40,43,39,padrino,PER,0
513,6995,Juan Santiago,36,38,38,estaba,PER,0
514,7033,FRANCISCO TERRÓN,191,193,194,paran,PER,0
515,7034,BARTOLOMÉ MURILLO,16,18,14,cuerpo,PER,0
516,7035,BARTOLOMÉ MURILLO,18,20,16,fueron,PER,0
517,7036,BARTOLOMÉ MURILLO,18,20,16,fueron,PER,0
518,7039,Marcos de Aguilar,176,179,175,estaba,PER,0
519,7096,Luis de Medina,42,45,41,padrino,PER,0
520,7306,Gonzalo de Vargas,38,41,36,cobrar,PER,0
521,7343,Miguel Ortiz,22,24,20,cobrar,PER,0
522,7354,Juan de Ubrete,59,62,62,arquero,PER,0
523,7355,Juan de Utrera,40,43,43,arquero,PER,0
524,7360,ALONSO PÉREZ,36,38,38,suegro,PER,0
525,7365,FELIPE MARTÍNEZ DE SOTO,49,53,47,cobrar,PER,0
526,7371,JUAN FAJARDO,41,43,39,cobrar,PER,0
527,7372,Pedro Pablo de Pereanes,10,14,14,sacristán,PER,0
528,7411,Fernando Romano,10,12,9,cuanto,PER,0
529,7412,Bernardo Antonio de Mesa,10,14,9,cuanto,PER,0
530,7521,Antonio Romero,32,34,30,cobrar,PER,0
531,7543,Joseph Romero,27,29,26,cuanto,PER,0
532,7556,Bartolomé,253,254,252,llama,PER,0
533,7560,JUAN BAUTISTA PRIETO,19,22,17,fueron,PER,0
534,7588,GASPAR DE RIBAS,24,27,22,cuerpo,PER,0
535,7704,JUAN LUIS DE ROJAS,31,35,30,cuanto,PER,0
536,7826,CORNELIO SCHUTT,0,2,3,cónsul,PER,0
537,7836,CORNELIO SCHUTT,0,2,3,cónsul,PER,0
538,7837,CORNELIO SCHUTT,0,2,3,cónsul,PER,0
539,7840,CORNELIO SCHUTT,0,2,3,cónsul,PER,0
540,7841,CORNELIO SCHUTT,0,2,3,cónsul,PER,0
541,7847,CORNELIO SCHUTT,0,2,3,cónsul,PER,0
542,7852,CORNELIO SCHUTT,0,2,3,cónsul,PER,0
543,7895,Laura de Narvaez,86,89,89,ahora,PER,0
544,7905,Juan Fernández,28,30,27,cuanto,PER,0
545,7912,María Manuela Suárez,178,181,181,ambos,PER,0
546,7941,Agustín de Libera,53,56,56,ambos,PER,0
547,7953,Matías de Tejada,17,20,20,marinero,PER,0
548,7967,LUCAS DE VALDÉS,24,27,23,padrino,PER,0
549,7973,JUAN DE VALDÉS,23,26,22,padrino,PER,0
550,7980,JOSEPH DE RIBAS,27,30,30,padrino,PER,0
551,7995,FERNANDO DE BARAONA,31,34,30,padrino,PER,0
552,7996,Diego Pablo de Arana,42,46,41,cuanto,PER,0
553,8005,Lorenzo de la Plata,43,47,42,padrino,PER,0
554,8016,Fernando Rejón,25,27,24,padrino,PER,0
555,8019,JUAN DE VALDÉS,15,18,14,padrino,PER,0
556,8076,Pedro de Quiros,51,54,49,Cámara,PER,0
557,8079,BERNARDO SIMÓN,66,68,65,padrino,PER,0
558,8109,JUAN DE VALDÉS,85,88,84,cuerpo,PER,0
559,8118,JUAN DE VALDÉS LEAL,64,68,63,padrino,PER,0
560,8124,LUCAS DE VALDÉS,25,28,24,padrino,PER,0
561,8134,JUAN DE BALDÉS,19,22,18,figuras,PER,0
562,8138,FELIPE MARTINEZ,10,12,8,aserta,PER,0
563,8157,Francisco de la Vega,27,31,26,padrino,PER,0
564,8165,VALDÉS LEAL,30,32,28,cuenta,PER,0
565,8186,FRANCISCO DE RIVAS,62,65,65,ajusto,PER,0
566,8202,FRANCISCO DE RIBAS,37,40,40,ajusto,PER,0
567,8268,Juan Jiménez,27,29,25,cobrar,PER,0
568,8322,Luis de Roa,29,32,28,llamdo,PER,0
569,8375,CARLOS DE ZARATE,74,77,73,cuanto,PER,0
570,8462,ALONSO DE ZARATE,10,13,9,cuanto,PER,0
571,8474,Fabian de Cabrera,64,67,68,consejo,PER,0
572,8474,Diego Navarro de Mendoza,75,79,80,consejo,PER,0
573,8503,ALFONSO MARTÍNEZ,1302,1304,1304,ambos,PER,0
574,8504,JUAN FAMON,231,233,229,grandes,PER,0
575,8510,TOMÁS CONTRERAS,43,45,45,conocía,PER,0
576,8513,Conde de Arenales,34,37,32,Padrino,PER,0
577,8513,ALONSO FAJARDO,72,74,74,padrino,PER,0
578,8513,ALONSO FAJARDO,83,85,85,padrino,PER,0
579,8518,Carlos de Chasaretta,20,23,19,padrino,PER,0
580,8541,Jerónimo de Tordera,16,19,15,padrino,PER,0
581,8551,Sebastián de Villanueva,610,613,613,arquero,PER,0
582,8570,Pedro de Plata,369,372,367,rosarios,PER,0
